time,raw_close,pseudo_event,baseline_zscore,balanced_selected,conservative_selected
2019-04-14 12:18:00,189700,0.0,0,0,0
2019-04-14 12:19:00,189700,0.0,0,0,0
2019-04-14 12:20:00,189700,0.0,0,0,0
2019-04-14 12:21:00,189700,0.0,0,0,0
2019-04-14 12:22:00,189700,0.0,0,0,0
2019-04-14 12:23:00,189800,0.0,0,0,0
2019-04-14 12:24:00,189700,0.0,0,0,0
2019-04-14 12:25:00,189600,0.0,0,0,0
2019-04-14 12:26:00,189550,0.0,0,0,0
2019-04-14 12:27:00,189550,0.0,0,0,0
2019-04-14 12:28:00,189500,0.0,0,0,0
2019-04-14 12:29:00,189400,0.0,0,0,0
2019-04-14 12:30:00,189300,0.0,0,0,0
2019-04-14 12:31:00,189350,0.0,0,0,0
2019-04-14 12:32:00,189300,0.0,0,0,0
2019-04-14 12:33:00,189300,0.0,0,0,0
2019-04-14 12:34:00,189300,0.0,0,0,0
2019-04-14 12:35:00,189450,0.0,0,0,0
2019-04-14 12:36:00,189750,0.0,1,0,0
2019-04-14 12:37:00,189800,0.0,0,0,0
2019-04-14 12:38:00,189800,0.0,0,0,0
2019-04-14 12:39:00,189700,0.0,0,0,0
2019-04-14 12:40:00,189700,0.0,0,0,0
2019-04-14 12:41:00,189750,0.0,0,0,0
2019-04-14 12:42:00,189750,0.0,0,0,0
2019-04-14 12:43:00,189850,0.0,0,0,0
2019-04-14 12:44:00,189900,0.0,0,0,0
2019-04-14 12:45:00,189950,0.0,0,0,0
2019-04-14 12:46:00,189800,0.0,0,0,0
2019-04-14 12:47:00,189800,0.0,0,0,0
2019-04-14 12:48:00,189800,0.0,0,0,0
2019-04-14 12:49:00,189850,0.0,0,0,0
2019-04-14 12:50:00,189800,0.0,0,0,0
2019-04-14 12:52:00,189850,0.0,0,0,0
2019-04-14 12:53:00,189700,0.0,0,0,0
2019-04-14 12:54:00,190000,0.0,0,0,0
2019-04-14 12:57:00,190000,0.0,0,0,0
2019-04-14 12:58:00,190000,0.0,0,0,0
2019-04-14 12:59:00,189750,0.0,0,0,0
2019-04-14 13:00:00,189900,0.0,0,0,0
2019-04-14 13:01:00,190000,0.0,0,0,0
2019-04-14 13:02:00,190000,0.0,0,0,0
2019-04-14 13:03:00,190100,0.0,0,0,0
2019-04-14 13:04:00,190200,0.0,0,0,0
2019-04-14 13:05:00,190000,0.0,0,0,0
2019-04-14 13:06:00,190050,0.0,0,0,0
2019-04-14 13:07:00,190000,0.0,0,0,0
2019-04-14 13:08:00,190000,0.0,0,0,0
2019-04-14 13:09:00,189900,0.0,0,0,0
2019-04-14 13:10:00,189900,0.0,0,0,0
2019-04-14 13:11:00,190050,0.0,0,0,0
2019-04-14 13:12:00,190050,0.0,0,0,0
2019-04-14 13:13:00,190000,0.0,0,0,0
2019-04-14 13:14:00,190150,0.0,0,0,0
2019-04-14 13:15:00,190200,0.0,0,0,0
2019-04-14 13:16:00,190250,0.0,0,0,0
2019-04-14 13:17:00,190250,0.0,0,0,0
2019-04-14 13:18:00,190200,0.0,0,0,0
2019-04-14 13:19:00,190200,0.0,0,0,0
2019-04-14 13:22:00,190200,0.0,0,0,0
2019-04-14 13:23:00,190550,1.0,0,0,0
2019-04-14 13:24:00,190800,0.0,0,0,0
2019-04-14 13:25:00,190850,0.0,0,0,0
2019-04-14 13:26:00,191050,0.0,0,0,0
2019-04-14 13:27:00,190850,0.0,0,0,0
2019-04-14 13:28:00,191150,0.0,0,0,0
2019-04-14 13:29:00,191100,0.0,0,0,0
2019-04-14 13:30:00,190950,0.0,0,0,0
2019-04-14 13:31:00,191150,0.0,0,0,0
2019-04-14 13:32:00,191150,0.0,0,0,0
2019-04-14 13:33:00,191100,0.0,0,0,0
2019-04-14 13:34:00,191050,0.0,0,0,0
2019-04-14 13:35:00,191000,0.0,0,0,0
2019-04-14 13:36:00,190950,0.0,0,0,0
2019-04-14 13:37:00,190850,0.0,0,0,0
2019-04-14 13:38:00,190850,0.0,0,0,0
2019-04-14 13:39:00,190950,0.0,0,0,0
2019-04-14 13:40:00,191000,0.0,0,0,0
2019-04-14 13:41:00,190900,0.0,0,0,0
2019-04-14 13:42:00,190900,0.0,0,0,0
2019-04-14 13:43:00,190650,0.0,0,0,0
2019-04-14 13:44:00,190700,0.0,0,0,0
2019-04-14 13:45:00,190900,0.0,0,0,0
2019-04-14 13:46:00,191000,0.0,0,0,0
2019-04-14 13:47:00,190650,0.0,0,0,0
2019-04-14 13:48:00,190600,0.0,0,0,0
2019-04-14 13:49:00,190450,0.0,0,0,0
2019-04-14 13:50:00,190550,0.0,0,0,0
2019-04-14 13:51:00,190750,0.0,0,0,0
2019-04-14 13:52:00,190700,0.0,0,0,0
2019-04-14 13:53:00,190650,0.0,0,0,0
2019-04-14 13:54:00,190550,0.0,0,0,0
2019-04-14 13:55:00,190450,0.0,0,0,0
2019-04-14 13:58:00,190200,0.0,0,0,0
2019-04-14 13:59:00,190300,0.0,0,0,0
2019-04-14 14:00:00,190300,0.0,0,0,0
2019-04-14 14:01:00,190450,0.0,0,0,0
2019-04-14 14:02:00,190400,0.0,0,0,0
2019-04-14 14:03:00,190300,0.0,0,0,0
2019-04-14 14:04:00,190300,0.0,0,0,0
2019-04-14 14:05:00,190400,0.0,0,0,0
2019-04-14 14:06:00,190400,0.0,0,0,0
2019-04-14 14:07:00,190350,0.0,0,0,0
2019-04-14 14:08:00,190300,0.0,0,0,0
2019-04-14 14:09:00,190350,0.0,0,0,0
2019-04-14 14:10:00,190300,0.0,0,0,0
2019-04-14 14:11:00,190350,0.0,0,0,0
2019-04-14 14:12:00,190350,0.0,0,0,0
2019-04-14 14:13:00,190300,0.0,0,0,0
2019-04-14 14:14:00,190300,0.0,0,0,0
2019-04-14 14:15:00,190300,0.0,0,0,0
2019-04-14 14:16:00,190300,0.0,0,0,0
2019-04-14 14:17:00,190300,0.0,0,0,0
2019-04-14 14:18:00,190300,0.0,0,0,0
2019-04-14 14:19:00,190300,0.0,0,0,0
2019-04-14 14:20:00,190300,0.0,0,0,0
2019-04-14 14:21:00,190300,0.0,0,0,0
2019-04-14 14:22:00,190300,0.0,0,0,0
2019-04-14 14:23:00,190250,0.0,0,0,0
2019-04-14 14:24:00,190150,0.0,0,0,0
2019-04-14 14:25:00,190150,0.0,0,0,0
2019-04-14 14:26:00,190000,0.0,0,0,0
2019-04-14 14:27:00,190100,0.0,0,0,0
2019-04-14 14:28:00,190200,0.0,0,0,0
2019-04-14 14:29:00,190200,0.0,0,0,0
2019-04-14 14:30:00,190100,0.0,0,0,0
2019-04-14 14:31:00,190150,0.0,0,0,0
2019-04-14 14:32:00,190250,0.0,0,0,0
2019-04-14 14:33:00,190400,0.0,0,0,0
2019-04-14 14:34:00,190200,0.0,0,0,0
2019-04-14 14:35:00,190300,0.0,0,0,0
2019-04-14 14:36:00,190350,0.0,0,0,0
2019-04-14 14:37:00,190250,0.0,0,0,0
2019-04-14 14:38:00,190250,0.0,0,0,0
2019-04-14 14:39:00,190100,0.0,0,0,0
2019-04-14 14:40:00,190050,0.0,0,0,0
2019-04-14 14:41:00,190050,0.0,0,0,0
2019-04-14 14:42:00,190050,0.0,0,0,0
2019-04-14 14:43:00,190100,0.0,0,0,0
2019-04-14 14:44:00,190100,0.0,0,0,0
2019-04-14 14:45:00,190100,0.0,0,0,0
2019-04-14 14:46:00,190050,0.0,0,0,0
2019-04-14 14:47:00,190000,0.0,0,0,0
2019-04-14 14:48:00,189950,0.0,0,0,0
2019-04-14 14:49:00,189900,0.0,0,0,0
2019-04-14 14:50:00,189950,0.0,0,0,0
2019-04-14 14:51:00,189950,0.0,0,0,0
2019-04-14 14:52:00,189850,0.0,0,0,0
2019-04-14 14:53:00,189950,0.0,0,0,0
2019-04-14 14:54:00,190100,0.0,0,0,0
2019-04-14 14:55:00,190050,0.0,0,0,0
2019-04-14 14:56:00,190100,0.0,0,0,0
2019-04-14 14:57:00,190150,0.0,0,0,0
2019-04-14 14:58:00,190150,0.0,0,0,0
2019-04-14 14:59:00,190300,0.0,0,0,0
2019-04-14 15:00:00,190300,0.0,0,0,0
2019-04-14 15:01:00,190350,1.0,0,0,0
2019-04-14 15:02:00,190350,0.0,0,0,0
2019-04-14 15:03:00,190350,0.0,0,0,0
2019-04-14 15:04:00,190350,0.0,0,0,0
2019-04-14 15:05:00,190250,0.0,0,0,0
2019-04-14 15:06:00,190300,0.0,0,0,0
2019-04-14 15:07:00,190250,0.0,0,0,0
2019-04-14 15:08:00,190350,0.0,0,0,0
2019-04-14 15:09:00,190300,0.0,0,0,0
2019-04-14 15:10:00,190250,0.0,0,0,0
2019-04-14 15:11:00,190300,0.0,0,0,0
2019-04-14 15:12:00,190100,0.0,0,0,0
2019-04-14 15:13:00,190100,0.0,0,0,0
2019-04-14 15:14:00,190100,0.0,0,0,0
2019-04-14 15:15:00,190250,0.0,0,0,0
2019-04-14 15:16:00,190250,0.0,0,0,0
2019-04-14 15:17:00,190250,0.0,0,0,0
2019-04-14 15:18:00,190300,0.0,0,0,0
2019-04-14 15:19:00,190250,0.0,0,0,0
2019-04-14 15:20:00,190300,0.0,0,0,0
2019-04-14 15:21:00,190300,0.0,0,0,0
2019-04-14 15:22:00,190250,0.0,0,0,0
2019-04-14 15:23:00,190300,0.0,0,0,0
2019-04-14 15:24:00,190400,0.0,0,0,0
2019-04-14 15:25:00,190250,0.0,0,0,0
2019-04-14 15:26:00,190250,0.0,0,0,0
2019-04-14 15:27:00,190250,0.0,0,0,0
2019-04-14 15:28:00,190350,0.0,0,0,0
2019-04-14 15:29:00,190350,0.0,0,0,0
2019-04-14 15:30:00,190200,0.0,0,0,0
2019-04-14 15:31:00,190150,0.0,0,0,0
2019-04-14 15:32:00,190150,0.0,0,0,0
2019-04-14 15:33:00,190150,0.0,0,0,0
2019-04-14 15:34:00,190050,0.0,0,0,0
2019-04-14 15:35:00,190100,0.0,0,0,0
2019-04-14 15:36:00,190200,0.0,0,0,0
2019-04-14 15:37:00,190200,0.0,0,0,0
2019-04-14 15:38:00,190250,0.0,0,0,0
2019-04-14 15:39:00,190200,0.0,0,0,0
2019-04-14 15:40:00,190150,0.0,0,0,0
2019-04-14 15:41:00,190250,0.0,0,0,0
2019-04-14 15:42:00,190250,0.0,0,0,0
2019-04-14 15:43:00,190200,0.0,0,0,0
2019-04-14 15:44:00,190050,0.0,0,0,0
2019-04-14 15:45:00,190200,0.0,0,0,0
2019-04-14 15:46:00,190200,0.0,0,0,0
2019-04-14 15:47:00,190200,0.0,0,0,0
2019-04-14 15:48:00,190200,0.0,0,0,0
2019-04-14 15:49:00,190100,0.0,0,0,0
2019-04-14 15:50:00,190200,0.0,0,0,0
2019-04-14 15:51:00,190300,0.0,0,0,0
2019-04-14 15:52:00,190250,0.0,0,0,0
2019-04-14 15:53:00,190200,0.0,0,0,0
2019-04-14 15:54:00,190200,0.0,0,0,0
2019-04-14 15:55:00,190200,0.0,0,0,0
2019-04-14 15:56:00,190150,0.0,0,0,0
2019-04-14 15:57:00,190000,0.0,0,0,0
2019-04-14 15:58:00,190050,0.0,0,0,0
2019-04-14 15:59:00,190100,0.0,0,0,0
2019-04-14 16:00:00,190200,0.0,0,0,0
2019-04-14 16:01:00,190300,0.0,0,0,0
2019-04-14 16:02:00,190350,0.0,0,0,0
2019-04-14 16:03:00,190150,0.0,0,0,0
2019-04-14 16:04:00,190350,0.0,0,0,0
2019-04-14 16:05:00,190500,0.0,0,0,0
2019-04-14 16:06:00,190650,0.0,0,0,0
2019-04-14 16:07:00,190450,0.0,0,0,0
2019-04-14 16:08:00,190700,0.0,0,0,0
2019-04-14 16:09:00,190700,0.0,0,0,0
2019-04-14 16:10:00,190850,0.0,0,0,0
2019-04-14 16:11:00,190750,0.0,0,0,0
2019-04-14 16:12:00,190700,0.0,0,0,0
2019-04-14 16:13:00,190650,0.0,0,0,0
2019-04-14 16:14:00,190550,0.0,0,0,0
2019-04-14 16:15:00,190800,0.0,0,0,0
2019-04-14 16:16:00,190800,0.0,0,0,0
2019-04-14 16:17:00,190400,0.0,1,1,0
2019-04-14 16:18:00,190300,0.0,0,0,0
2019-04-14 16:19:00,190550,0.0,0,0,0
2019-04-14 16:20:00,190300,0.0,0,0,0
2019-04-14 16:21:00,190350,0.0,0,0,0
2019-04-14 16:22:00,190500,0.0,0,0,0
2019-04-14 16:23:00,190500,0.0,0,0,0
2019-04-14 16:24:00,190550,0.0,0,0,0
2019-04-14 16:25:00,190450,0.0,0,0,0
