category,order_count,revenue,avg_review,avg_freight,order_share,revenue_share
health_beauty,8836,1263138.54,4.1427682737169516,18.863322709982523,0.09016602549057624,0.09380114226195653
watches_gifts,5624,1206075.33,4.019159663865546,16.778215297450426,0.0573895119238344,0.08956360686133935
bed_bath_table,9417,1050936.61,3.8956631049654304,18.389787045252884,0.09609477841158402,0.07804294726286187
sports_leisure,7720,993656.51,4.107986111111111,19.502697701149426,0.0787779217731155,0.07378930552940711
computers_accessories,6689,919640.54,3.9308192126385526,18.80288066886243,0.06825719154668,0.06829285180579046
furniture_decor,6449,736282.47,3.9034929780338494,20.72496494355318,0.06580813698378522,0.05467661268054946
cool_stuff,3632,637258.51,4.146341463414634,22.131999474513925,0.03706235905180771,0.04732305622956643
housewares,5884,634542.6,4.055019444044361,20.9797438832451,0.06004265436697042,0.047121371733200204
auto,3897,594363.1,4.065511511986708,21.854109492481204,0.03976652346500403,0.0441376269766557
garden_tools,3518,486432.45,4.042735042735043,22.750307268975003,0.035899058134432685,0.03612265638200071
toys,3886,484769.9,4.158640919090687,18.797738181818183,0.03965427513087135,0.035999194794748675
baby,2885,412117.47000000003,4.011811023622047,22.300615034168562,0.0294396767247977,0.030603998063512182
perfumery,3162,400212.94,4.161940952937737,15.851994177583697,0.03226629386613876,0.0297199631958153
telephony,4199,323839.4,3.946867389860527,15.681665934065935,0.042848250456646635,0.02404843543878144
office_furniture,1273,275224.49,3.4931831653823355,40.481052322163436,0.01299019357735441,0.020438273968320556
stationery,2311,231300.21,4.193857199840447,18.58373861386139,0.023582354561874342,0.017176440442891103
computers,181,222963.13,4.175,48.45467980295566,0.0018469953161831484,0.01655732575169554
pet_shop,1710,214591.41,4.185146982980918,20.31779374037968,0.017449513760625326,0.0159356386810934
small_appliances,630,191571.48,4.149187592319055,23.667218155197656,0.006428768227598804,0.01422617003580111
musical_instruments,628,191523.78,4.152592592592592,27.38538913362702,0.006408359439574681,0.014222627815890777
electronics,2550,160376.63999999998,4.037468170243725,16.83980852601156,0.026021204730757065,0.011909629504404629
consoles_games,1062,158000.22,4.0230700976042595,17.437891036906855,0.010837066440809413,0.011733155662909651
fashion_bags_accessories,1864,153656.9,4.144678764100049,15.50210731707317,0.01902099043848281,0.011410619088885712
construction_tools_construction,748,145509.39,4.052915766738661,22.223469387755102,0.007632886721022072,0.010805581937069639
luggage_accessories,1034,140429.98,4.315257352941177,27.880247252747253,0.010551343408471688,0.01042838304325962
home_appliances_2,234,113585.39,4.142857142857143,44.31245833333333,0.002387828198822413,0.008434893710289146
home_construction,490,83207.97,3.94,22.882809917355374,0.005000153065910181,0.006179055095016427
home_appliances,764,83195.6,4.172456575682382,19.23709517923362,0.007796157025215057,0.006178136494171756
agro_industry_and_commerce,182,72530.47,4.0,27.56415094339623,0.00185719971019521,0.005386139935843118
furniture_living_room,422,69427.26,3.904382470119522,35.69368836291913,0.004306254273089992,0.00515569439605401
fixed_telephony,217,59622.99,3.683206106870229,17.57966037735849,0.0022143535006173658,0.004427625624559925
home_confort,397,58828.74,3.829885057471264,19.568581235697938,0.004051144422788453,0.004368644321336005
air_conditioning,253,55024.96,3.969178082191781,22.724680134680135,0.002581711685051583,0.004086174190297818
audio,350,50738.4,3.8254847645429364,15.683671232876712,0.003571537904221558,0.0037678526351860465
small_appliances_home_oven_and_coffee,75,47445.71,4.302631578947368,36.15605263157895,0.0007653295509046195,0.003523336239451243
books_general_interest,512,46856.88,4.446265938069216,16.62842676311031,0.005224649734175536,0.003479609502558148
kitchen_dining_laundry_garden_furniture,248,46457.37,3.9642857142857144,42.8563475177305,0.0025306897149912754,0.003449941739950672
construction_tools_lights,244,41308.0,4.054054054054054,24.952065573770494,0.0024898721389430287,0.003067547590272165
construction_tools_safety,167,40544.52,3.844559585492228,20.201546391752576,0.0017041338000142862,0.003010851278801723
industry_commerce_and_business,235,39745.61,4.101503759398496,29.389219330855017,0.0023980325928344747,0.0029515239222280736
food,450,29393.41,4.218181818181818,14.256921568627451,0.0045919773054277175,0.00218276566319797
market_place,280,28378.47,4.019417475728155,17.543601286173633,0.002857230323377246,0.002107395837709667
costruction_tools_garden,194,25769.74,4.054166666666666,22.232208333333332,0.001979652438339949,0.0019136705683872426
art,202,24202.64,3.9371980676328504,19.35488038277512,0.002061287590436442,0.0017972971339746467
fashion_shoes,240,23767.47,4.233716475095785,18.741132075471697,0.0024490545628947824,0.0017649812463776016
drinks,297,22505.9,4.047745358090186,15.112715404699738,0.0030307050215822935,0.0016712965844849984
signaling_and_security,140,21509.23,4.086294416243655,32.70261306532664,0.001428615161688623,0.00159728349605669
furniture_bedroom,95,20278.78,4.118181818181818,42.67927272727273,0.0009694174311458514,0.0015059098170489824
books_technical,260,19149.03,4.368421052631579,16.013011152416357,0.0026531424431360143,0.001422014157851975
costruction_tools_tools,97,15903.95,4.444444444444445,19.710873786407767,0.0009898262191699746,0.0011810332985937105
food_drink,227,15270.47,4.315412186379929,16.272607142857144,0.0023163974407379817,0.0011339908359354939
fashion_male_clothing,112,10797.82,3.6412213740458017,16.306136363636362,0.0011428921293508984,0.0008018501675509001
fashion_underwear_beach,121,9541.55,3.976923076923077,14.627404580152673,0.0012347316754594529,0.0007085590856483338
christmas_supplies,128,8800.82,4.02054794520548,21.106535947712416,0.001306162433543884,0.0006535521977200317
tablets_printing_image,79,7528.41,4.1234567901234565,14.773493975903614,0.0008061471269528659,0.00055906255335724
cine_photo,65,6949.36,4.205479452054795,17.30945205479452,0.0006632856107840036,0.0005160620829363264
music,38,6034.35,4.2105263157894735,18.171315789473685,0.0003877669724583406,0.0004481130967696049
dvds_blu_ray,59,5999.39,4.079365079365079,20.1365625,0.000602059246711634,0.0004455169540428712
books_imported,53,4639.85,4.4,12.830833333333334,0.0005408328826392645,0.0003445570031646244
party_supplies,39,4485.18,3.7674418604651163,19.255116279069767,0.00039797136647040215,0.0003330711508893413
furniture_mattress_and_upholstery,38,4368.08,3.8157894736842106,42.90684210526316,0.0003877669724583406,0.00032437526092079106
fashio_female_clothing,39,2889.44,3.78,12.927999999999999,0.00039797136647040215,0.0002145708993230368
fashion_sport,27,2144.5,4.258064516129032,19.104193548387098,0.00027551863832566304,0.00015925137521396963
la_cuisine,13,2054.99,4.0,23.825,0.0001326571221568007,0.00015260432900487546
arts_and_craftmanship,23,1814.01,4.125,15.422083333333333,0.00023470106227741665,0.00013470906372202985
diapers_and_hygiene,27,1567.59,3.2564102564102564,14.709743589743589,0.00027551863832566304,0.00011640982199658038
flowers,29,1110.04,4.419354838709677,14.814242424242424,0.00029592742634978623,8.243198719632307e-05
home_comfort_2,24,760.27,3.6296296296296298,13.677,0.0002449054562894783,5.64579356651549e-05
cds_dvds_musicals,12,730.0,4.642857142857143,16.070714285714285,0.00012245272814473914,5.42100740994161e-05
fashion_childrens_clothes,8,569.85,4.5,11.93875,8.163515209649275e-05,4.231727496650995e-05
security_and_services,2,283.28999999999996,2.5,20.61,2.0408788024123187e-05,2.1037221769347378e-05
